
=== Python Programming ===
  topic_id=1 | Introduction to Python | notes=1824chars | 2 quizzes | 31 questions | OK
  topic_id=2 | Variables and Data Types | notes=2147chars | 2 quizzes | 31 questions | OK
  topic_id=3 | Operators in Python | notes=1242chars | 2 quizzes | 30 questions | OK
  topic_id=4 | Input and Output | notes=1287chars | 2 quizzes | 29 questions | OK
  topic_id=5 | Control Flow: if/elif/else | notes=1782chars | 2 quizzes | 29 questions | OK
  topic_id=6 | for Loops | notes=1819chars | 2 quizzes | 29 questions | OK
  topic_id=7 | while Loops | notes=1300chars | 2 quizzes | 29 questions | OK
  topic_id=8 | List Comprehensions | notes=1948chars | 2 quizzes | 31 questions | OK
  topic_id=9 | Defining and Calling Functions | notes=1745chars | 2 quizzes | 30 questions | OK
  topic_id=10 | Lambda and Higher-Order Functions | notes=2171chars | 2 quizzes | 29 questions | OK
  topic_id=11 | Modules and Packages | notes=1592chars | 2 quizzes | 30 questions | OK
  topic_id=12 | Classes and Objects | notes=2447chars | 2 quizzes | 29 questions | OK
  topic_id=13 | File Operations | notes=2267chars | 2 quizzes | 29 questions | OK
  topic_id=14 | Exception Handling | notes=2471chars | 2 quizzes | 30 questions | OK

=== Computer Networks ===
  topic_id=15 | Network Basics | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=16 | Transmission Media | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=17 | OSI Reference Model | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=18 | Key Protocols | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=19 | IPv4 Addressing | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=20 | IPv6 | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=21 | Routing Protocols | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=22 | Security Fundamentals | notes=1417chars | 1 quizzes | 30 questions | OK

=== Object Oriented Programming (C++) ===
  topic_id=23 | OOP Concepts Overview | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=24 | Classes and Objects in C++ | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=25 | Encapsulation | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=26 | Abstraction: Abstract Classes and Interfaces | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=27 | Types of Inheritance | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=28 | Compile-Time Polymorphism | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=29 | Runtime Polymorphism | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=30 | Templates in C++ | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=31 | Memory Management | notes=1417chars | 1 quizzes | 30 questions | OK

=== Data Visualization ===
  topic_id=32 | Why Visualize Data? | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=33 | Data Types and Visual Encoding | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=34 | Matplotlib Basics | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=35 | Seaborn Plots | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=36 | Plotly Express | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=37 | Building Dashboards | notes=1417chars | 1 quizzes | 30 questions | OK

=== Machine Learning ===
  topic_id=38 | What is Machine Learning? | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=39 | Handling Missing Data | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=40 | Feature Scaling | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=41 | Linear Regression | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=42 | Classification Algorithms | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=43 | Model Evaluation for Classification | notes=1417chars | 1 quizzes | 30 questions | OK
  topic_id=44 | Clustering | notes=1417chars | 1 quizzes | 30 questions | OK
